Point,Height,Height STD,Mean,Mean STD,Sigma,Sigma STD,FWHM,R^2,Stowed SNR,Silent SNR
39.0,113.29148102819303,45.40458709427377,1095.475154368294,6.509566594681016,14.065078340675116,6.508937595791427,33.052934100586526,-0.7898326893771828,1.5172095129953718,2.209701038176136
40.0,121.15569648833355,52.74641081598876,1076.599937126905,8.79201141851608,17.48172931368735,8.791470446434511,41.082063887165276,0.22967351956246096,1.367441252793711,2.7230291605112713
41.0,193.7264175892944,105.2528545981505,1099.4741646866767,2.9922786427670824,5.771451535981691,3.9219170947125077,13.562911109556975,0.9815443869426005,2.0870304083300333,2.6941997102848534
42.0,103.00603290026311,30.274748309512628,1061.3162999165793,24.025717612120193,70.1317496997046,25.81956794798942,164.80961179430582,0.015991609488840153,1.4775362901606592,2.2445859196042113
43.0,226.626916182342,71.77976226074381,1097.3847010436166,2.8690214099552525,7.010299247259906,2.421955942833605,16.47420323106078,0.9365795300261819,2.9601684203496723,2.946646774309709
44.0,545.5315111686024,2907833.175174906,1083.2460533454368,4687.234266200069,2.5612986306355903,4245.280086723463,6.019051781993637,0.0,8.188350917991963,9.6460976611553
45.0,176.00220738224183,68.71539348716195,1086.3696279558192,3.653018091999959,7.391299579627169,3.135672812251355,17.36955401212385,-0.32454942408387666,2.3403438641223695,2.0230322897786652
46.0,99.24071405178098,91.28945066456752,1095.2916267079256,10.753063291492284,10.105359023031776,10.716227696601882,23.747593704124675,0.43874919085040864,1.556921468210393,1.7493007015962183
47.0,516.12979118633,40086944.025169864,1100.147257421352,41971.147116741195,2.4299207906803026,50304.829675508445,5.710313858098711,0.0,5.588374239470735,18.365749304538102
48.0,561.7955542614233,1399915134.5311813,1090.9121278401258,667328.1391210117,2.2880099229322606,1298629.3801594027,5.376823318890812,0.0,6.704068374651569,13.500521733848725
49.0,298.11751443759164,20.32662448077733,1103.862062408353,19.445799514320946,170.40299681286922,39.758170935662385,400.4470425102427,0.024107862493059296,2.8967634558812354,3.348974231986454
50.0,172.88099985417415,135.81321873585054,1084.3751787342148,5.6669344355419895,5.4483416606953785,5.284395028091522,12.80360290263414,0.9971966451879127,2.0479982900258404,3.6231740248246003
51.0,207.72014216124697,154.30985698976448,1080.5005231804273,5.811232048502662,7.326811086373615,6.61145660399987,17.218006052977998,0.9573662807335407,2.821508099536878,4.820664496356166
52.0,70.13075663038956,15.979418337676037,1021.2236270347107,34.41966304256224,91.3179329239042,37.53637340478312,214.59714237117487,0.14748451348530023,0.9012940826708044,1.2314337310356467
53.0,691.8188255978957,39612040.37277655,1081.979319375626,4869.3588715703645,2.5992826763446617,43741.61010122617,6.108314289409956,0.9999995170330153,6.8272287901259725,15.574918656462897
